variant,seed,epoch,mIoU,boundary_f1_mean,trimap_mIoU_mean
A,42,2,0.672219027020122,0.3592341046252628,0.3356208791687449
A,42,4,0.7201432587150433,0.48628043075493543,0.38205239029771887
A,42,6,0.743782410685105,0.48316971779357776,0.39126316156939067
A,42,8,0.7536671178652353,0.5082343672020979,0.40292410620608166
A,42,10,0.7615344554651,0.5201115800283587,0.4060626832530931
A,42,15,0.7539500650395344,0.5253051709102544,0.4175882523222824
A,42,20,0.770739580914601,0.5037837269124406,0.41655540214598363
A,42,25,0.7768269336376775,0.5708073079105613,0.44378722994978415
A,42,30,0.7890209551413176,0.5600182187006534,0.45552379129396015
A,42,35,0.7872177926687982,0.562401746952002,0.4469628168501955
A,42,40,0.7966257160696548,0.5681741447086148,0.45692548720744425
A,42,45,0.7978578623982822,0.5710025562962805,0.45937669534896564
A,42,50,0.7986309322988729,0.5742002742678806,0.4605996926750346
A,42,60,0.7961691933236911,0.5673599017774819,0.4622199907792127
A,42,70,0.7965918496431522,0.5544584928680099,0.4525227512986302
A,42,80,0.7920303179288031,0.5441348810762306,0.44760178481953833
A,42,90,0.8018855448043218,0.5605055479888852,0.45831061319914806
A,42,100,0.802330131502278,0.5791700622902901,0.46565589434081717
A,42,110,0.8093731488898155,0.5772516430476956,0.47133308229385035
A,42,120,0.8108042162732195,0.5866317634419808,0.47424288859072566
A,42,130,0.8125081220479397,0.5817351357906282,0.4770712757129504
A,42,140,0.8092158906401422,0.5847373644279733,0.47473185154398095
A,42,150,0.8147758446025973,0.5882247771811651,0.47932751753928393
A,42,160,0.8151264770816663,0.5872936155795063,0.4781140040012317
A,123,2,0.6965647371667025,0.35065305252498036,0.34353851809443925
A,123,4,0.7377529077968928,0.4986961452457797,0.3923365820093821
A,123,6,0.7433798446453711,0.49640509222426693,0.3930996631390682
A,123,8,0.7592273667723838,0.5002459772891102,0.3995578426142935
A,123,10,0.7617804485302772,0.5161503668399446,0.4084556117080029
A,123,15,0.7325247434046334,0.5215356247030409,0.41085203666392467
A,123,20,0.7731633837014559,0.5538691679421286,0.42303262645950246
A,123,25,0.7815386489923134,0.5631892874232194,0.43476154241662096
A,123,30,0.7859713115190067,0.5565073902157386,0.4462820234807241
A,123,35,0.792877905672372,0.5592066085010486,0.45092422586892494
A,123,40,0.7978484446647978,0.5730507145800903,0.45536052006137495
A,123,45,0.7957571988870216,0.5634638846001574,0.4512745271888165
A,123,50,0.801153623046582,0.573217480587808,0.4624196279210339
A,123,60,0.7908645812577919,0.581967790239735,0.4583913295744791
A,123,70,0.792875777895148,0.5725073665075736,0.46031268727141345
A,123,80,0.7933394634625077,0.5807588979255824,0.4683857259547797
A,123,90,0.7823870214174867,0.5753977059661417,0.4631152121161061
A,123,100,0.8069951311695022,0.5864595991632154,0.47721813441620736
A,123,110,0.8074850453122506,0.5806380099483213,0.4749873461066176
A,123,120,0.8081046094868916,0.5811098880378179,0.476513053779645
A,123,130,0.8096738485486605,0.5799151709307282,0.4742407308620882
A,123,140,0.807584353554143,0.5816044340969936,0.4760848222013663
A,123,150,0.8098497481015497,0.5833749472127315,0.47835240122146333
A,123,160,0.8109576702462512,0.583669846908763,0.47878551086895543
A,456,10,0.749056259085002,0.517200303490877,0.4018262325968031
A,456,20,0.7798960817390067,0.5615463275814826,0.43918905158555205
A,456,30,0.7734597070821794,0.5642129809468783,0.43768180618961866
A,456,40,0.7979696879966752,0.5576924571912214,0.45863440955785617
A,456,50,0.7982222251087251,0.5617661716348495,0.4583126326636069
A,456,60,0.7927037175024866,0.5702218929110588,0.45522685500964677
A,456,70,0.8119967190113748,0.5772862885615653,0.4706196636108774
A,456,80,0.8005829378423572,0.575116972143848,0.46532774321610193
A,456,90,0.8057950130235243,0.576438904890764,0.46771297602504763
A,456,100,0.8094244048421986,0.5646926561268936,0.46995315356336514
A,456,110,0.8120230530256467,0.5745417615076706,0.4745696675715815
A,456,120,0.8129941932858865,0.5817546416948283,0.47601230864020544
A,456,130,0.8120247470125092,0.5843054251217827,0.4774649853907186
A,456,140,0.8130312530245943,0.5832771547639809,0.4770775903527556
A,456,150,0.8134684038966826,0.5848716776083186,0.4783383367540931
A,456,160,0.8124176319198471,0.5826135661129037,0.4780270697522824
B,42,2,0.6830850893271588,0.3389874307008571,0.3403403622412941
B,42,4,0.7397448763561733,0.46607043176426927,0.38490072506294254
B,42,6,0.7084060796204955,0.4916130071547208,0.3985768761009941
B,42,8,0.7679248909637116,0.5132405102000919,0.4110130899254246
B,42,10,0.7712179495362608,0.5005617786208968,0.4068140279473954
B,42,15,0.7693698606429231,0.48657789470357826,0.4145371195086469
B,42,20,0.7818568882305654,0.52964263629299,0.4415926055199486
B,42,25,0.7928315848143838,0.5589985071734671,0.44747199851735603
B,42,30,0.7992554740220663,0.5681706977357146,0.4695361286194847
B,42,35,0.7990835463511644,0.5368066826148868,0.4627237962200213
B,42,40,0.8061972081829898,0.5485145420603829,0.46859199005676394
B,42,45,0.8052329812830239,0.5727185366776432,0.4790913793621138
B,42,50,0.8067305935869605,0.5724745952707281,0.4814945192805966
B,42,60,0.7983517557836178,0.5388556449373355,0.47073040951432826
B,42,70,0.7994478403514943,0.5590394403288684,0.4700228892877646
B,42,80,0.7998129985428161,0.546997024941892,0.46866364948893
B,42,90,0.8123676902337964,0.5845357370943741,0.4858136374972829
B,42,100,0.8091409672039069,0.577215754567528,0.48114503900697253
B,42,110,0.8122423564032581,0.571193263819429,0.4850851031702441
B,42,120,0.8116693982263647,0.5871051410562907,0.4901337916744807
B,42,130,0.8101647513003306,0.5897594645739117,0.49164769264159014
B,42,140,0.8135454739330575,0.5849273204321198,0.4898573450808505
B,42,150,0.8144502496076624,0.5891218179910639,0.49189487111147584
B,42,160,0.8142957721763389,0.5899333350365306,0.4918314429833728
B,123,2,0.6939027943196833,0.25674134877319277,0.3225288155800616
B,123,4,0.7196512726494951,0.4508697937338418,0.3778873163807219
B,123,6,0.7466492402308132,0.4582683578779687,0.3942908912071903
B,123,8,0.7471266350645087,0.4813370559412178,0.3933175593935051
B,123,10,0.769674230963127,0.47462794132558267,0.40636178437728
B,123,15,0.766582239265352,0.5304662853851758,0.42887259680203127
B,123,20,0.7910616350588303,0.5529987058911725,0.44541832414377575
B,123,25,0.7968836917235054,0.5593407954614557,0.45139351033133407
B,123,30,0.7934642325943093,0.5552380476047775,0.4570809212300738
B,123,35,0.7984472985757766,0.5608156890987379,0.47331056731166543
B,123,40,0.8021542608696542,0.574457098918785,0.47894648883756613
B,123,45,0.7996891979146249,0.5532752812305344,0.4728445283387654
B,123,50,0.8039524527510561,0.5707021421654143,0.48104883979512963
B,123,60,0.7958413766159169,0.5731360978837392,0.47171567065859565
B,123,70,0.8042486234843809,0.5601232932234127,0.4745043195679801
B,123,80,0.7986369965333932,0.5842117581533871,0.48105335566201823
B,123,90,0.8077189060087603,0.5808138780105719,0.4857095280157964
B,123,100,0.8014507813857229,0.5755039530425832,0.4832584277503165
B,123,110,0.8003277319149881,0.5785958577411142,0.4871958445885026
B,123,120,0.8013184463931908,0.5788930489173004,0.48738528956948857
B,123,130,0.804179135561711,0.5665830471585966,0.4852010596847512
B,123,140,0.8019536885340827,0.584006223701921,0.48834276166082513
B,123,150,0.806646947866594,0.5842430973039925,0.4914845418630133
B,123,160,0.8086138796542579,0.5875764436168797,0.4914492455828664
B,456,10,0.7364129021256243,0.5286687960749289,0.42578379979432696
B,456,20,0.792778910454615,0.5576493519557972,0.4514245632956951
B,456,30,0.7944567567719973,0.5501919622759005,0.4614672595355719
B,456,40,0.798887565203743,0.5615246036573907,0.4680977142040806
B,456,50,0.8084176143324084,0.5653097341798979,0.4736725458538335
B,456,60,0.8001751541061349,0.5679636612804887,0.4737721153663499
B,456,70,0.8022071892923042,0.5799617894854664,0.48532872824000395
B,456,80,0.8077923794390888,0.5717996473101027,0.4820994355583105
B,456,90,0.8054931032404323,0.5679430605015725,0.47971454676585046
B,456,100,0.8115398004828112,0.5775456826620332,0.48356627108620087
B,456,110,0.8067466484873294,0.5672550683640354,0.48106180841586854
B,456,120,0.8066676763617755,0.5805614742999314,0.48918336027391834
B,456,130,0.8117879890389083,0.5838048665696202,0.4879947477804597
B,456,140,0.8148133990850542,0.5815782337999368,0.4877697447089611
B,456,150,0.8117194449257303,0.5839922022823647,0.4889369941943645
B,456,160,0.8098846993546276,0.5815257202261899,0.4873733791993645
C,42,2,0.6484554496685361,0.32527400699445996,0.3344602053761712
C,42,4,0.743660918479109,0.5039523409471093,0.39678292060659226
C,42,6,0.7417485262172201,0.5022448221534315,0.402777144088666
C,42,8,0.7811356370759982,0.532906283241659,0.42154400811028125
C,42,10,0.7826998232319207,0.5370696105538685,0.4258630636325945
C,42,15,0.7705809709030559,0.5393080450081795,0.42927157625245377
C,42,20,0.7871205327754154,0.5240976732355557,0.4393254992778194
C,42,25,0.7935562155205627,0.5534155480958705,0.45081634305394813
C,42,30,0.7966483204801512,0.5673484779953014,0.46698587697346067
C,42,35,0.7996527196625132,0.558175965345021,0.4698270930359121
C,42,40,0.8074162909486573,0.5603819831326438,0.4693390081103404
C,42,45,0.8039656179061919,0.5658827688341288,0.4786162587531595
C,42,50,0.8064445202597764,0.5747300982073158,0.4822256900431247
C,42,60,0.7991594251621169,0.5585466646312828,0.47400477289490106
C,42,70,0.8012483042568802,0.5774042910013406,0.4815154104819095
C,42,80,0.7978415001921457,0.5594401076141197,0.46356787874786815
C,42,90,0.8071934227344869,0.5810786231044796,0.48202076522343285
C,42,100,0.7929397044782317,0.5792099816269496,0.4826144753455649
C,42,110,0.8081177091218796,0.5759993310920317,0.48167486739658233
C,42,120,0.8124926697635783,0.5848906694710717,0.48538392172073463
C,42,130,0.8091183254568367,0.5851052094632166,0.4855401620903635
C,42,140,0.812250925532746,0.5856636370148993,0.4881988770359856
C,42,150,0.8114725743271084,0.5880196147878087,0.4876769293972723
C,42,160,0.8131370254467605,0.587321976197854,0.48940317965772173
C,123,2,0.7137415529516891,0.43955131666355346,0.36466213282534293
C,123,4,0.7550234458272028,0.5159274581151108,0.4010525557782269
C,123,6,0.7658551227201501,0.5232408066342654,0.4120789515048617
C,123,8,0.7816212307031801,0.532196975600143,0.42699522125499
C,123,10,0.7880907634767815,0.5376484313651264,0.43381970231000744
C,123,15,0.7610467055062659,0.5315838548030261,0.43274697153935154
C,123,20,0.7942470809420991,0.5574088249409007,0.4444313480593314
C,123,25,0.7901472307469647,0.5667072846748897,0.4587460326066903
C,123,30,0.7949429168722354,0.5665442964983431,0.4651177681865868
C,123,35,0.8066625839074988,0.575612101655611,0.47681308286459995
C,123,40,0.8116332720958596,0.5764357391321207,0.4794152022732452
C,123,45,0.8077350394727622,0.5612991263092096,0.4745816285825442
C,123,50,0.8106845539956901,0.5751725315329095,0.4837449640482168
C,123,60,0.8006518380716008,0.5673902108098289,0.47370357090915827
C,123,70,0.8101988780437069,0.5713557584761573,0.48043197573120067
C,123,80,0.7940444908227974,0.5821791698430145,0.4798653761272296
C,123,90,0.8022922248565987,0.5708284439232653,0.47912305016674933
C,123,100,0.8063924917721191,0.5864209450939373,0.48258217985952284
C,123,110,0.8113389096923767,0.5814160058346751,0.4844969347521304
C,123,120,0.809937826062092,0.5794519274684135,0.48731826996150834
C,123,130,0.8087195729939731,0.5795028039054944,0.483577514842916
C,123,140,0.8114693149906714,0.5795435773285609,0.4862388856613777
C,123,150,0.8088343369883204,0.582402135901157,0.4860779874934182
C,123,160,0.8122216283446225,0.5842211694604643,0.489105458860317
C,456,10,0.774314127454535,0.5284514350469497,0.425270720340643
C,456,20,0.7758408716012,0.5607733844426652,0.4473895786538909
C,456,30,0.7941960857308306,0.5591820546922827,0.4632714086702922
C,456,40,0.7936088993624766,0.5665673592995183,0.4701998850361843
C,456,50,0.8084674882795767,0.5653173713416875,0.47563338730058047
C,456,60,0.7986210095444038,0.571674725058914,0.47913345923505457
C,456,70,0.8150837179929704,0.5853098810065306,0.4864843918879621
C,456,80,0.8097774157461304,0.5782839619158767,0.48393124687699823
C,456,90,0.8066831532125017,0.575354863073682,0.48245305303194275
C,456,100,0.8095945761565225,0.5789658420647897,0.4889403592365188
C,456,110,0.8113654131669814,0.5736440849917636,0.482914234768597
C,456,120,0.8113440877787238,0.5843999018888633,0.49155435846953754
C,456,130,0.8078982608559012,0.5795622983271839,0.4878639566431315
C,456,140,0.8138313258494133,0.5827926690215728,0.48909963231929665
C,456,150,0.8122864758818134,0.5868470782517897,0.49058940982965055
C,456,160,0.8114230328188546,0.5843769355929013,0.4892464800310114
D,42,2,0.673278494940475,0.38981553028961413,0.3419580488267715
D,42,4,0.7358067233743918,0.4946584830992442,0.3809236087022283
D,42,6,0.7429847863515908,0.4884676561499268,0.39295540860482664
D,42,8,0.7584277223772997,0.5199151482828281,0.40732244142250895
D,42,10,0.7680971310889215,0.5282440370342166,0.40934268063129586
D,42,15,0.7638075519157399,0.5116205873759693,0.41635226150649496
D,42,20,0.7684077739771328,0.5060711280631448,0.41244808611709166
D,42,25,0.7792188365253224,0.5619530506971434,0.44519775677197615
D,42,30,0.7871541830036523,0.5679102293371394,0.45397780209595107
D,42,35,0.7857385479106503,0.5532319945395402,0.44776858586520313
D,42,40,0.7954519163550567,0.5643113051960077,0.4562758979676304
D,42,45,0.7972981265763482,0.5659540268741389,0.45726067621651373
D,42,50,0.7967581800394464,0.5735991938766083,0.46107978715982595
D,42,60,0.7995441110505768,0.5767373261655488,0.45834731253315036
D,42,70,0.7907539757809617,0.5694311564065617,0.4503699047432581
D,42,80,0.8006660767546309,0.5491157167134268,0.448585278834523
D,42,90,0.7916741847433328,0.5714414472914289,0.4654170699203448
D,42,100,0.8050413543174001,0.5748805956508081,0.46789799143576305
D,42,110,0.8145630396848439,0.5694765169946859,0.4740421313344386
D,42,120,0.8148034374842555,0.5878473251947481,0.480492870464959
D,42,130,0.8146087072561352,0.5832724418550779,0.47644423701946237
D,42,140,0.8147014682127944,0.5842817639731991,0.4775622481733981
D,42,150,0.8170775828134764,0.5892636329789361,0.48086734994687025
